Samplenumber,Date,Day,Transit,Donor,Vessel,Ninetransit,Transitnumber,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate,Isocaproate,Caproate,Heptanoate,Octanoic acid,O2 ,N2 ,H2,CO2,CH4,NH4+,Lactate,Intact_cells_events.ml,SD_intact_cells,log_intact,log_SD_intact,Damaged_cells_events.ml,SD_Damaged_cells,log_damaged,log_SD_damaged,Total_cells_events.ml,SD_total_cells,log_total,log_SD_total,Ratio_cells,SD_ratio,Percentage_intact_cells,SD_percentage_intact
0,2/09/2019,0,FS,1,FS,0,0,72.77318036,23.74105501,2.972279876,26.44562392,3.601038268,5.107933353,0,5.314409032,0.852461098,0,0,0,0,0,0,4.30123621,0,1.15072E+11,16620026947,11.057746,0.065830483,29324102564,6098528551,10.46076254,0.092481256,1.44396E+11,22199012307,11.15590028,0.070113344,3.965826017,0.375519348,79.78186212,1.596887352
1,3/09/2019,1,ST,1,P,1,1,48.8509812,5.165529557,0,2.693037309,0,0,0,0.16943795,0,0,0,0,0,0,0,2.82083264,2.895648313,2677541398,411154767.8,9.424394645,0.065621282,621639149.9,85587953.53,8.790744005,0.060610889,3299180548,494596584.2,9.515199187,0.064400608,4.303826953,0.160814619,81.13399098,0.578794948
2,3/09/2019,1,ST,1,D,1,2,54.1823282,8.676454844,0.531878544,4.241154632,0.84700267,0,0,0,0,0,0,0,0,0,0,4.980320417,1.12544405,5101549660,60652798.96,9.707681569,0.005179797,686533333.3,33667754.95,8.836309239,0.021491544,5788082993,93980215.41,9.762496384,0.007079314,7.440114585,0.282473908,88.14304783,0.393198302
3,3/09/2019,1,MT,1,P,1,3,45.78788146,2.933710181,0,1.97942188,0,0,0,0,0,0,0,0,0,0,0,2.28310882,4.252442274,1768586957,371685986.5,9.241573274,0.087518253,681231884.1,139878480.4,8.827175397,0.089349741,2449818841,507136981,9.383190517,0.08700691,2.600324023,0.16977886,72.18264865,1.33854735
4,3/09/2019,1,MT,1,D,1,4,54.63272447,7.033073892,0.408589829,3.901592469,0.64359023,0,0,0,0,0,0,0,0,0,0,4.729752204,1.706705151,5333798701,712839413.1,9.724292137,0.060664164,810811688.3,116826736,8.905714428,0.065637216,6144610390,829500695.8,9.785692122,0.061309254,6.585738822,0.0895503,86.81614199,0.155841521
5,3/09/2019,1,LT,1,P,1,5,50.43240644,4.781725506,0,2.335952244,0,0,0,0,0,0,0,0,0,0,0,2.351294418,2.429618117,2757820087,328266845.2,9.438587927,0.05029068,792414913.5,88594125,8.897202243,0.047347575,3550235001,416845872.3,9.548331213,0.049632629,3.478509632,0.025110563,77.67067655,0.124857174
6,3/09/2019,1,LT,1,D,1,6,57.64379678,7.316076355,0.491912065,3.701088968,0.784816573,0,0,0,0,0,0,0,0,0,0,4.988635734,1.520870337,5217604635,947319856.7,9.712342132,0.083179894,768398918.2,195363252.5,8.875043388,0.12056178,5986003553,1131358983,9.771519807,0.087260236,6.903943884,0.761056238,87.26748526,1.257247368
7,4/09/2019,2,ST,1,P,,,34.19562811,4.651797482,0,4.016880496,0,0,0,0,0,0,,,,,,,,2974032721,193961493.7,9.472716436,0.028788256,768187863,27450534.34,8.885280381,0.015657414,3742220584,221408373.4,9.572612565,0.026075392,3.868724703,0.116175821,79.45285652,0.495625545
8,4/09/2019,2,ST,1,D,,,56.05865334,10.04877942,0.936870164,5.388140742,1.098032829,0.393626026,0,0,0,0,,,,,,,,6127435443,137291461.6,9.787206074,0.009730179,1069213027,97080732.7,9.027830176,0.04042794,7196648471,230885972.7,9.856980499,0.013988289,5.756354122,0.425698814,85.16120088,0.902706751
9,4/09/2019,2,MT,1,P,,,52.5760044,7.231275862,0,4.781984388,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
