"";"Names";"SHIME"
"1";"Tube_001_0_20190902_165147.fcs";"1"
"2";"Tube_001_0_20190902_165239.fcs";"1"
"3";"Tube_001_0_20190902_165332.fcs";"1"
"4";"Tube_001_0filtered_20190902_165902.fcs";"1"
"5";"Tube_001_0filtered_20190902_170141.fcs";"1"
"6";"Tube_001_1_20190903_104257.fcs";"1"
"7";"Tube_001_1_20190903_104510.fcs";"1"
"8";"Tube_001_1_20190903_104741.fcs";"1"
"9";"Tube_001_10_20190906_113209.fcs";"1"
"10";"Tube_001_10_20190906_113449.fcs";"1"
"11";"Tube_001_10_20190906_113750.fcs";"1"
"12";"Tube_001_11_20190908_110091.fcs";"1"
"13";"Tube_001_11_20190908_110092.fcs";"1"
"14";"Tube_001_11_20190908_110093.fcs";"1"
"15";"Tube_001_12_20190908_110091.fcs";"1"
"16";"Tube_001_12_20190908_110092.fcs";"1"
"17";"Tube_001_12_20190908_110093.fcs";"1"
"18";"Tube_001_13_20190908_110091.fcs";"1"
"19";"Tube_001_13_20190908_110092.fcs";"1"
"20";"Tube_001_13_20190908_110093.fcs";"1"
"21";"Tube_001_14_20190909_110091.fcs";"1"
"22";"Tube_001_14_20190909_110092.fcs";"1"
"23";"Tube_001_14_20190909_110093.fcs";"1"
"24";"Tube_001_14filtered_20190909_110091.fcs";"1"
"25";"Tube_001_14filtered_20190909_110092.fcs";"1"
"26";"Tube_001_15_20190911_110812.fcs";"1"
"27";"Tube_001_15_20190911_111036.fcs";"1"
"28";"Tube_001_15_20190911_111306.fcs";"1"
"29";"Tube_001_16_20190912_110449.fcs";"1"
"30";"Tube_001_16_20190912_110720.fcs";"1"
"31";"Tube_001_16_20190912_110941.fcs";"1"
"32";"Tube_001_17_20190913_110218.fcs";"1"
"33";"Tube_001_17_20190913_110457.fcs";"1"
"34";"Tube_001_17_20190913_110737.fcs";"1"
"35";"Tube_001_18_20190918_103354.fcs";"1"
"36";"Tube_001_18_20190918_103634.fcs";"1"
"37";"Tube_001_18_20190918_103914.fcs";"1"
"38";"Tube_001_18filtered_20190918_110035.fcs";"1"
"39";"Tube_001_18filtered_20190918_110315.fcs";"1"
"40";"Tube_001_1filtered_20190904_114610.fcs";"1"
"41";"Tube_001_1filtered_20190904_114851.fcs";"1"
"42";"Tube_001_1HK_20190903_123402.fcs";"1"
"43";"Tube_001_1HK_20190903_123633.fcs";"1"
"44";"Tube_001_1HK_20190903_123904.fcs";"1"
"45";"Tube_001_2_20190903_104916.fcs";"1"
"46";"Tube_001_2_20190903_105052.fcs";"1"
"47";"Tube_001_2_20190903_105228.fcs";"1"
"48";"Tube_001_3_20190903_105459.fcs";"1"
"49";"Tube_001_3_20190903_105729.fcs";"1"
"50";"Tube_001_3_20190903_110001.fcs";"1"
"51";"Tube_001_3filtered_20190903_115036.fcs";"1"
"52";"Tube_001_3filtered_20190903_115306.fcs";"1"
"53";"Tube_001_4_20190903_110142.fcs";"1"
"54";"Tube_001_4_20190903_110310.fcs";"1"
"55";"Tube_001_4_20190903_110438.fcs";"1"
"56";"Tube_001_4HK_20190903_122631.fcs";"1"
"57";"Tube_001_4HK_20190903_122901.fcs";"1"
"58";"Tube_001_4HK_20190903_123132.fcs";"1"
"59";"Tube_001_5_20190903_110653.fcs";"1"
"60";"Tube_001_5_20190903_110924.fcs";"1"
"61";"Tube_001_5_20190903_111156.fcs";"1"
"62";"Tube_001_6_20190903_111326.fcs";"1"
"63";"Tube_001_6_20190903_111517.fcs";"1"
"64";"Tube_001_6_20190903_111644.fcs";"1"
"65";"Tube_001_7_20190905_113027.fcs";"1"
"66";"Tube_001_7_20190905_113306.fcs";"1"
"67";"Tube_001_7_20190905_113546.fcs";"1"
"68";"Tube_001_8_20190906_115411.fcs";"1"
"69";"Tube_001_8_20190906_115651.fcs";"1"
"70";"Tube_001_9_20190906_121012.fcs";"1"
"71";"Tube_001_9_20190906_121252.fcs";"1"
"72";"Tube_001_9_20190906_121531.fcs";"1"
"73";"Tube_001_9filtered_20190906_122612.fcs";"1"
"74";"Tube_001_9filtered_20190906_122852.fcs";"1"
"75";"Tube_001_20190905LTP1_20190905_112030.fcs";"1"
"76";"Tube_001_20190905LTP1_20190905_112226.fcs";"1"
"77";"Tube_001_20190905STD1_20190905_111303.fcs";"1"
"78";"Tube_001_20190905STD1filtered_20190905_114627.fcs";"1"
"79";"Tube_001_20190905STD1filtered_20190905_114907.fcs";"1"
"80";"Tube_001_20190907STD1_20190907_190090.fcs";"1"
"81";"Tube_001_20190907STD1_20190907_190091.fcs";"1"
"82";"Tube_001_20190907STD1filtered.3_20190907_112054.fcs";"1"
"83";"Tube_001_20190907STD1filtered.3_20190907_112355.fcs";"1"
"84";"Tube_001_20190907STP1_20190907_190090.fcs";"1"
"85";"Tube_001_20190907STP1_20190907_190091.fcs";"1"
"86";"Tube_001_20190908STP1_20190908_110091.fcs";"1"
"87";"Tube_001_20190908STP1_20190908_110092.fcs";"1"
"88";"Tube_001_20190908STP1_20190908_110093.fcs";"1"
"89";"Tube_001_20190909STD1_20190909_110091.fcs";"1"
"90";"Tube_001_20190909STD1_20190909_110092.fcs";"1"
"91";"Tube_001_20190909STP1_20190909_110091.fcs";"1"
"92";"Tube_001_20190909STP1_20190909_110092.fcs";"1"
"93";"Tube_001_20190910STD1_20190910_114457.fcs";"1"
"94";"Tube_001_20190910STD1_20190910_114759.fcs";"1"
"95";"Tube_001_20190910STD1filtered_20190910_115621.fcs";"1"
"96";"Tube_001_20190910STD1filtered_20190910_115922.fcs";"1"
"97";"Tube_001_20190910STP1_20190910_113301.fcs";"1"
"98";"Tube_001_20190910STP1_20190910_113637.fcs";"1"
"99";"Tube_001_20190911STD1_20190911_105748.fcs";"1"
"100";"Tube_001_20190911STD1_20190911_110028.fcs";"1"
"101";"Tube_001_20190911STP1_20190911_104949.fcs";"1"
"102";"Tube_001_20190911STP1_20190911_113439.fcs";"1"
"103";"Tube_001_20190912STD1_20190912_104626.fcs";"1"
"104";"Tube_001_20190912STD1_20190912_104905.fcs";"1"
"105";"Tube_001_20190912STP1_20190912_103827.fcs";"1"
"106";"Tube_001_20190912STP1_20190912_114211.fcs";"1"
"107";"Tube_001_20190913MTP1_20190913_105418.fcs";"1"
"108";"Tube_001_20190913MTP1_20190913_114450.fcs";"1"
"109";"Tube_001_20190914MTD1_20190914_101338.fcs";"1"
"110";"Tube_001_20190914MTD1_20190914_104300.fcs";"1"
"111";"Tube_001_20190914MTP1_20190914_100020.fcs";"1"
"112";"Tube_001_20190914MTP1_20190914_105400.fcs";"1"
"113";"Tube_001_20190915MTD1_20190915_102657.fcs";"1"
"114";"Tube_001_20190915MTD1_20190915_102937.fcs";"1"
"115";"Tube_001_20190915MTP1_20190915_101619.fcs";"1"
"116";"Tube_001_20190915MTP1_20190915_101858.fcs";"1"
"117";"Tube_001_20190916MTD1_20190916_104350.fcs";"1"
"118";"Tube_001_20190916MTD1_20190916_104629.fcs";"1"
"119";"Tube_001_20190916MTP1_20190916_103550.fcs";"1"
"120";"Tube_001_20190916MTP1_20190916_110800.fcs";"1"
"121";"Tube_001_20190917LTD1_20190917_112459.fcs";"1"
"122";"Tube_001_20190917LTD1_20190917_112739.fcs";"1"
"123";"Tube_001_20190917LTP1_20190917_111419.fcs";"1"
"124";"Tube_001_20190917LTP1_20190917_111659.fcs";"1"
"125";"Tube_001_20190917MTD1_20190917_110339.fcs";"1"
"126";"Tube_001_20190917MTD1_20190917_110619.fcs";"1"
"127";"Tube_001_20190917MTP1_20190917_105300.fcs";"1"
"128";"Tube_001_20190917MTP1_20190917_105540.fcs";"1"
"129";"Tube_001_20190918LTP1_20190918_104955.fcs";"1"
"130";"Tube_001_20190918LTP1_20190918_105234.fcs";"1"
"131";"Tube_001_20190919LTD1_20190919_104600.fcs";"1"
"132";"Tube_001_20190919LTD1_20190919_104800.fcs";"1"
"133";"Tube_001_20190919LTP1_20190919_103700.fcs";"1"
"134";"Tube_001_20190919LTP1_20190919_103900.fcs";"1"
"135";"Tube_001_20190919LTP1filtered_20190919_105500.fcs";"1"
"136";"Tube_001_20190919LTP1filtered_20190919_105800.fcs";"1"
"137";"Tube_001_20190920LTD1_20190920_111902.fcs";"1"
"138";"Tube_001_20190920LTD1_20190920_112142.fcs";"1"
"139";"Tube_001_20190920LTP1_20190920_110831.fcs";"1"
"140";"Tube_001_20190920LTP1_20190920_111111.fcs";"1"
"141";"Tube_001_20190921LTD1_20190921_093320.fcs";"1"
"142";"Tube_001_20190921LTD1_20190921_093600.fcs";"1"
"143";"Tube_001_20190921LTP1_20190921_092242.fcs";"1"
"144";"Tube_001_20190921LTP1_20190921_092521.fcs";"1"
"145";"Tube_001_MTD1filtered_20190915_105500.fcs";"1"
"146";"Tube_001_MTD1filtered_20190915_110200.fcs";"1"
"147";"Tube_001_MTD1filtered_20190916_105710.fcs";"1"
