Combination;Carbohydrate;Medium;Carbohydrate_differences
1_ST_P;0.172485727;2.714127284;2.541641557
1_ST_D;0.102360257;2.714127284;0.07012547
1_MT_P;0.561748203;5.829423445;5.267675242
1_MT_D;0.169657779;5.829423445;0.392090423
1_LT_P;1.381826611;8.383542217;7.001715605
1_LT_D;0.538651322;8.383542217;0.84317529
2_ST_P;0.548436161;2.714127284;2.165691123
2_ST_D;0.19864364;2.714127284;0.349792521
2_MT_P;0.757236863;5.829423445;5.072186582
2_MT_D;0.17536243;5.829423445;0.552794625
2_LT_P;1.247141186;8.383542217;7.136401031
2_LT_D;0.381147291;8.383542217;0.865993895
3_ST_P;1.13110023;2.714127284;1.583027054
3_ST_D;0.354338879;2.714127284;0.776761351
3_MT_P;1.309753212;5.829423445;4.519670233
3_MT_D;0.584845083;5.829423445;0.724908129
3_LT_P;2.197452609;8.383542217;6.186089607
3_LT_D;0.895957286;8.383542217;1.301495323
4_ST_P;0.876244904;2.714127284;1.83788238
4_ST_D;0.371174557;2.714127284;0.505070347
4_MT_P;1.091585084;5.829423445;4.737838361
4_MT_D;0.212512233;5.829423445;0.879072852
4_LT_P;2.120091972;8.383542217;6.263450244
4_LT_D;0.421497263;8.383542217;1.698594709
5_ST_P;0.409715738;2.714127284;2.304411546
5_ST_D;0.17999917;2.714127284;0.229716568
5_MT_P;1.01533755;5.829423445;4.814085895
5_MT_D;0.207503271;5.829423445;0.807834279
5_LT_P;1.743863262;8.383542217;6.639678954
5_LT_D;0.299055967;8.383542217;1.444807295
6_ST_P;0.439352097;2.714127284;2.274775187
6_ST_D;0.094985952;2.714127284;0.344366146
6_MT_P;1.243245326;5.829423445;4.586178119
6_MT_D;0.229487049;5.829423445;1.013758277
6_LT_P;1.843764229;8.383542217;6.539777988
6_LT_D;0.285698735;8.383542217;1.558065494
