"","Samplenumber","Date","Day","Transit","Donor","Vessel","Ninetransit","Transitnumber","Acetate","Propionate","Isobutyrate","Butyrate","Isovalerate","Valerate","Isocaproate","Caproate","Heptanoate","Octanoic.acid","O2","N2","H2","CO2","CH4","NH4.","Lactate","Intact_cells_events.ml","SD_intact_cells","log_intact","log_SD_intact","Damaged_cells_events.ml","SD_Damaged_cells","log_damaged","log_SD_damaged","Total_cells_events.ml","SD_total_cells","log_total","log_SD_total","Ratio_cells","SD_ratio","Percentage_intact_cells","SD_percentage_intact","volume","infldosage","inflsubstrate","load","volloadrate","SDtot","meantot","meanINT","SDINT","Carbohydrate","Acet_CH","Prop_CH","Buty_CH","Val_CH","Cap_CH","Hep_CH","Oct_CH","Isoval_CH","Isobut_CH","SCFA_CH","ivTransit"
"1",31,"8/09/2019",6,"ST","1","P","3",NA,9.712609584,2.4683083746,0.2768972106,2.430732729,0.373780599,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1432062033,39451620.34,9.155851375,0.012012231,450190963.8,9067921.764,8.653338078,0.008743481,1882252997,"34137916.04","9.274630408","0.007872958","3.182637295","0.137224921","76.07413921","0.800120717",0.2,0.6,5.46000000000039,3.27600000000023,16.3800000000012,21660020.5208208,1070046014.08375,892840079.557061,25068343.1696699,1.5249849342,6.3689872379593,1.61857885887565,1.59393884784518,0,0,0,0,0.24510445357028,0.181573735182675,9.58150494468013,"STD"
"2",32,"8/09/2019",6,"ST","1","D","3",13,5.165794548,0.9650927748,0.0653416596,0.5891341518,0.0565166424,0.3476117472,0,0.0820173684,0,0,NA,NA,NA,NA,NA,NA,NA,1078625242,608153808.1,8.963541791,0.329809168,919635307.8,516451152.3,8.897419574,0.319918342,1998260550,"1123392027","9.232850338","0.325129561","1.165352106","0.05653876","53.79743816","1.188959557",0.325,0.6,5.46,3.276,10.08,592021197.727449,18782634.7741672,-186539808.554351,373537138.070888,0.042075282,122.775042791157,22.9372859533063,14.0019061975627,8.26166173289106,1.94930050379698,0,0,1.34322670493331,1.55297021182175,159.714234942026,"STD"
"3",37,"9/09/2019",7,"ST","1","P","3",NA,11.617996206,2.895551724,0.2924083572,2.3742941568,0.3851576388,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1262807018,4962152.85,9.10133531,0.001706548,487280701.8,4589991.387,8.687769578,0.004090943,1750087719,"372161.4638","9.243059812","9.2354E-05","2.591702095","0.034596164","72.15675561","0.268193026",0.2,0.6,5.46000000000039,3.27600000000023,16.3800000000012,1488645.85512959,980842105.263158,792947368.421053,4465937.56538876,1.5249849342,7.61843343199633,1.89874120003618,1.55692958241948,0,0,0,0,0.252564881240648,0.191745079339683,11.074104214452,"STD"
"4",38,"9/09/2019",7,"ST","1","D","3",NA,2.428143606,0.5325190476,0.0362938356,0.445881483,0.0271029366,0.2164902996,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1607777778,12177950.12,9.206219793,0.003289551,1145555556,10606601.72,9.059006848,0.004021153,2753333333,"1571348.403","9.439858757","0.000247855","1.403601133","0.02362643","58.39374932","0.408972671",0.325,0.6,5.46,3.276,10.08,2871845.96218761,495741228.070175,265385964.912281,2133725.7256856,0.042075282,57.7095028382697,12.6563393585811,10.597231006081,5.14530834517045,0,0,0,0.644153415299747,0.86259280686461,80.9630732029318,"STD"
"5",43,"10/09/2019",8,"ST","1","P","3",NA,12.806769246,3.0905584566,0.2855152794,2.7033385374,0.3733777512,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1521568323,4238248.72,9.182290616,0.001209706,516266722.4,4511057.475,8.712865842,0.003794845,2037835045,"8749306.195","9.309167025","0.00186462","2.947329021","0.017543881","74.66616359","0.112596089",0.2,0.6,5.46000000000039,3.27600000000023,16.3800000000012,2226220.80010928,1133925824.17582,951622790.253225,4284195.45734661,1.5249849342,8.3979644380673,2.02661573061461,1.77269852099763,0,0,0,0,0.244840288468733,0.187224983668301,12.1972786896795,"STD"
"6",44,"10/09/2019",8,"ST","1","D","3",NA,2.288816802,0.2828860428,0.0454720242,0.0453474917999998,0.0243200238,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1771441209,187225722.3,9.247110508,0.045986844,1269477044,157205753.3,9.101953446,0.053918971,3040918253,"344431475.6","9.481607357","0.049296217","1.396989944","0.025513761","58.27864635","0.444085575",0.325,0.6,5.46,3.276,10.08,185125086.165099,510298923.864489,227115171.672867,125080713.019217,0.042075282,54.3981333743646,6.7233308810622,1.07777035932878,0,0,0,0,0.578012140239487,1.0807301113276,62.1992346147555,"STD"
"7",49,"11/09/2019",9,"ST","1","P","3",NA,10.82424,2.707869294,0.2862617838,3.0817610376,0.399062118,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1348169963,35020693.65,9.129671372,0.011282706,456468864.5,29506814.84,8.658957008,0.028093006,1804638828,"64527508.49","9.256251439","0.015532147","2.957174909","0.114435229","74.71887558","0.731090062",0.2,0.6,5.46000000000039,3.27600000000023,16.3800000000012,39354299.871084,1007212307.69231,837258461.538461,22884151.1523696,1.5249849342,7.09793241706899,1.77566953828336,2.02084687427858,0,0,0,0,0.261682662595841,0.1877144995863,10.8944488296309,"STD"
"8",50,"11/09/2019",9,"ST","1","D","3",NA,2.45536908,0.6892052544,0.0396469752,-0.0799032486000003,0.0232488876,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1439508399,38307292.12,9.158137301,0.011558536,890941769.3,39590061.42,8.949634827,0.019304749,2330450168,"77897353.53","9.367318479","0.01451938","1.616355979","0.028828304","61.77658104","0.421164535",0.325,0.6,5.46,3.276,10.08,753620.264034618,212937748.298734,102798761.305883,896016.183843286,0.042075282,58.3565685905563,16.3802884173183,-1.8990543806694,0,0,0,0,0.552554528333286,0.942286618542449,72.8378026272052,"STD"
"9",55,"12/09/2019",10,"ST","1","P","3",NA,9.455945742,2.3671771758,0.277816875,3.0651082998,0.4116259866,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,837975943,1333569.368,8.923231276,0.000691144,490025987.5,26145309.99,8.68990981,0.023182762,1328001931,"27478879.35","9.123152215","0.008987018","1.712429119","0.088645137","63.11297851","1.205508026",0.2,0.6,5.46000000000039,3.27600000000023,16.3800000000012,12705240.8815633,718961983.961984,530550935.550936,2919571.86577233,1.5249849342,6.2006814165417,1.55226266352711,2.00992693833263,0,0,0,0,0.26992134634821,0.182176799763429,9.76287101840144,"STD"
"10",56,"12/09/2019",10,"ST","1","D","3",NA,3.485695578,0.9542415432,0.0702726672,0.0555818622000002,0.013081815,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1375604396,140178091.6,9.137363167,0.044332705,738351648.4,79568938.89,8.866998661,0.046892929,2113956044,"219747030.5","9.323919555","0.045226747","1.863666846","0.010986502","65.0794798","0.133973113",0.325,0.6,5.46,3.276,10.08,109119155.991433,393642411.642412,377493020.49302,90511768.1011183,0.042075282,82.8442594395446,22.6793855641894,1.32100985562022,0,0,0,0,0.31091449369252,1.67016509122862,106.844654859354,"STD"
