"","Samplenumber","Date","Day","Transit","Donor","Vessel","Ninetransit","Acetate","Propionate","Butyrate","load","Valerate","Caproate","Heptanoate","Isovalerate","Isobutyrate","Octanoic.acid","Acet_load","Prop_load","Buty_load","Val_load","Cap_load","Hep_load","Oct_load","Isoval_load","Isobut_load","SCFA_load","ivTransit"
"1",31,"8/09/2019",6,"ST","1","P","3",48.56304792,12.341541873,12.153663645,3.27600000000023,0,0,0,1.868902995,1.384486053,0,14.8238852014641,3.7672594239924,3.70990953754552,0,0,0,0,0.570483209706919,0.42261479029301,22.3010541630021,"STD"
"3",37,"9/09/2019",7,"ST","1","P","3",58.08998103,14.47775862,11.871470784,3.27600000000023,0,0,0,1.925788194,1.462041786,0,17.7319844413907,4.41934023809492,3.62377008058582,0,0,0,0,0.587847434065892,0.44628870146517,25.7750947600714,"STD"
"5",43,"10/09/2019",8,"ST","1","P","3",64.03384623,15.452792283,13.516692687,3.27600000000023,0,0,0,1.866888756,1.427576397,0,19.5463511080572,4.71696956135497,4.12597456868102,0,0,0,0,0.569868362637322,0.43576813095235,28.3892952380932,"STD"
"7",49,"11/09/2019",9,"ST","1","P","3",54.1212,13.53934647,15.408805188,3.27600000000023,0,0,0,1.99531059,1.431308919,0,16.5205128205116,4.13288964285685,4.70354248717915,0,0,0,0,0.609069166666623,0.436907484432203,25.3569449505476,"STD"
"9",55,"12/09/2019",10,"ST","1","P","3",47.27972871,11.835885879,15.325541499,3.27600000000023,0,0,0,2.058129933,1.389084375,0,14.4321516208781,3.61290777747227,4.67812622069564,0,0,0,0,0.628244790292995,0.424018429487149,22.723185619046,"STD"
"11",61,"13/09/2019",11,"MT","1","P","3",30.9299304,18.813531615,10.6736814375,6.552,0,0,0,1.9208507865,1.189354494,0,4.72068534798535,2.87141813415751,1.6290722584707,0,0,0,0,0.293170144459707,0.181525411172161,9.22117574061356,"STD"
"13",65,"14/09/2019",12,"MT","1","P","3",34.05927129,20.400607965,11.136348525,6.552,0,0,0,1.966526253,1.2490176795,0,5.19830147893773,3.11364590430403,1.69968689331502,0,0,0,0,0.300141369505495,0.190631513965202,10.0116342765568,"STD"
"15",69,"15/09/2019",13,"MT","1","P","3",36.279205245,20.32071921,11.208460797,6.552,0,0,0,2.0048703645,1.315669269,0,5.53711923763737,3.10145287087912,1.71069303983517,0,0,0,0,0.305993645375458,0.200804222985348,10.3492651483517,"STD"
"17",73,"16/09/2019",14,"MT","1","P","3",34.41784065,17.2263867,10.6141350015,6.552,0,0,0,1.989389499,1.304461371,0,5.25302818223444,2.6291798992674,1.61998397458791,0,0,0,0,0.303630875915751,0.199093615842491,9.50219205608975,"STD"
"19",77,"17/09/2019",15,"MT","1","P","3",28.140743265,16.04627832,10.0835327745,6.552,0,0,0,1.80236547,1.129907244,0,4.29498523580586,2.44906567765568,1.53900072870879,0,0,0,0,0.275086304945055,0.172452265567766,8.28305164217034,"STD"
"21",79,"17/09/2019",15,"LT","1","P","3",36.47811956,25.56134428,4.108004133,9.828,0,0,0,0.719159102,0.324188268,0,3.71165237688238,2.60086938135938,0.417989838522589,0,0,0,0,0.0731745118030118,0.0329861892551893,6.73051159676435,"STD"
"23",81,"18/09/2019",16,"LT","1","P","3",37.07071194,24.73202737,3.739941683,9.828,0,0,0,0.56337526,0.269856274,0,3.77194871184371,2.5164863013838,0.380539446784697,0,0,0,0,0.05732349002849,0.0274579033374033,6.66897446001221,"STD"
"26",120,"9/09/2019",7,"ST","2","P","3",47.26489077,10.339799673,7.420854552,3.27600000000023,0,0,0,2.185238802,1.614774882,0,14.4276223351638,3.15622700641003,2.26521811721596,0,0,0,0,0.667044811355264,0.49291052564099,19.8490674587898,"STD"
"28",126,"10/09/2019",8,"ST","2","P","3",52.06390008,11.859293925,8.742641259,3.27600000000023,0,0,0,2.008749927,1.512436689,0,15.8925213919403,3.62005309065908,2.66869391300347,0,0,0,0,0.613171528388235,0.461671760988978,22.1812683956028,"STD"
"30",132,"11/09/2019",9,"ST","2","P","3",50.24392887,12.235386699,10.413728388,3.27600000000023,0,0,0,2.118255117,1.482281025,0,15.336974624541,3.73485552472501,3.17879376923054,0,0,0,0,0.646598021062225,0.452466735347953,22.2506239184966,"STD"
"32",138,"12/09/2019",10,"ST","2","P","3",45.2302476,10.708587849,11.695341063,3.27600000000023,0,0,0,2.139827943,1.475436573,0,13.8065468864459,3.26879970970673,3.57000642948692,0,0,0,0,0.653183132783836,0.450377464285682,20.6453530256396,"STD"
"34",144,"13/09/2019",11,"MT","2","P","3",54.34521795,14.246901888,15.996487665,6.552,0,0,0,2.075623554,1.4456129025,0,8.29444718406594,2.17443557509158,2.441466371337,0,0,0,0,0.316792361721612,0.220636889880953,12.9103491304945,"STD"
"36",148,"14/09/2019",12,"MT","2","P","3",48.094546485,12.2766235635,14.7009219375,6.552,0,0,0,2.170329576,1.404623694,0,7.34043749771063,1.87372154510073,2.24373045444139,0,0,0,0,0.331246882783883,0.214380905677656,11.4578894972528,"STD"
"38",152,"15/09/2019",13,"MT","2","P","3",43.930554615,11.3754573075,12.6731464815,6.552,0,0,0,2.106060219,1.289461371,0,6.70490760302198,1.7361809077381,1.93424091597985,0,0,0,0,0.321437762362638,0.196804238553114,10.3753294267399,"STD"
"40",156,"16/09/2019",14,"MT","2","P","3",45.89362659,11.948257389,12.889660314,6.552,0,0,0,2.158251558,1.397157273,0,7.00452176282052,1.82360460760073,1.96728637271062,0,0,0,0,0.329403473443224,0.213241342032967,10.7954127431319,"STD"
"42",160,"17/09/2019",15,"MT","2","P","3",41.620243185,11.759922003,12.1945998165,6.552,0,0,0,2.0265105315,1.3795302495,0,6.3522959684066,1.79485989056777,1.86120265819597,0,0,0,0,0.309296479166667,0.210551014880953,10.0083585171703,"STD"
"44",162,"17/09/2019",15,"LT","2","P","3",47.12723082,13.46034565,0.797239353,9.828,0,0,0,0.288775635,0.250320744,0,4.79520053113553,1.36959153947904,0.0811191852869353,0,0,0,0,0.0293829502442002,0.0254701611721612,6.24591125590151,"STD"
"46",164,"18/09/2019",16,"LT","2","P","3",45.14149196,15.30439163,0.898683963,9.828,0,0,0,0.33762741,0,0,4.5931514000814,1.55722340557591,0.0914411846764347,0,0,0,0,0.0343536233211233,0,6.24181599033374,"STD"
"48",166,"19/09/2019",17,"LT","2","P","3",48.13256935,18.48924959,1.372086328,9.828,0,0,0,0.389583704,0,0,4.89749382885633,1.88128302706553,0.139609923483923,0,0,0,0,0.0396401815221815,0,6.91838677940578,"STD"
"50",168,"20/09/2019",18,"LT","2","P","3",43.66542015,17.36774631,1.182665366,9.828,0,0,0,0.393776525,0.239726553,0,4.44296094322344,1.76716995421245,0.120336321326821,0,0,0,0,0.0400668014855515,0.0243922011599512,6.33046721876272,"STD"
"52",170,"21/09/2019",19,"LT","2","P","3",43.39533311,20.2803815,1.104165538,9.828,0,0,0,0.402043113,0,0,4.41547955942206,2.06353088115588,0.112348955840456,0,0,0,0,0.0409079276556777,0,6.5913593964184,"STD"
"54",172,"19/09/2019",17,"LT","1","P","3",34.84367553,24.40920635,3.431081391,9.828,0,0,0,0.473454761,0.247285501,0,3.54534753052503,2.48363922975173,0.349112880647131,0,0,0,0,0.0481740701058201,0.0251613248880749,6.37809964092389,"STD"
"56",174,"20/09/2019",18,"LT","1","P","3",35.1675746,24.99055172,2.670645391,9.828,0,0,0,0.384480767,0,0,3.57830429385429,2.54279118030118,0.27173844027269,0,0,0,0,0.0391209571632072,0,6.39283391442816,"STD"
"58",176,"21/09/2019",19,"LT","1","P","3",36.12273192,26.40657745,3.502949834,9.828,0,0,0,0.3548053,0,0,3.67549164835165,2.68687194240944,0.356425502035002,0,0,0,0,0.0361014753764754,0,6.71878909279609,"STD"
"60",231,"14/10/2019",6,"ST","3","P","3",28.36256901,11.456962233,1.945063482,3.27600000000023,1.486825275,0,0,0.519765648,0,0,8.65768284798473,3.49724121886422,0.593731221611679,0.453853869047587,0,0,0,0.158658622710611,0,12.7486552884606,"MTD"
"62",237,"15/10/2019",7,"ST","3","P","3",23.721761559,8.310060756,1.868981058,3.27600000000023,1.019781666,0,0,0.521499852,0,0,7.24107495695919,2.5366485824174,0.570507038461498,0.311288664835143,0,0,0,0.159187989010978,0,10.3482305778381,"MTD"
"64",243,"16/10/2019",8,"ST","3","P","3",36.78511701,12.209059113,3.19278177,3.27600000000023,1.150351824,0,0,0.694580244,0,0,11.2286681959699,3.72681902106201,0.97459760989004,0.35114524542122,0,0,0,0.212020831501816,0,15.9300848269219,"MTD"
"66",249,"17/10/2019",9,"ST","3","P","3",20.802057918,8.834868636,2.711770635,3.27600000000023,1.188536934,0,0,0.711869475,0,0,6.34983452930357,2.69684634798516,0.827768814102505,0.362801261904736,0,0,0,0.217298374542109,0,9.87444969139124,"MTD"
"68",255,"18/10/2019",10,"ST","3","P","3",24.726370872,10.395057471,3.126049593,3.27600000000023,1.406993178,0.452947113,0,0.807887868,0,0,7.54773225640972,3.17309446611699,0.954227592490774,0.429485097069566,0.138262244505485,0,0,0.246608018315001,0,11.6750543150175,"MTD"
