Samplenumber,Donor,Transit,PD_Colon,Date,Extra code,Ninetransit,Extra nr,Day,Time,Total_cells
0,1,FS,FS,2/09/2019,(0)_,0,0,0,9:30:00,1.44396E+11
1,1,ST,P,3/09/2019,(1)_,1,1,1,9:30:00,3299180548
102,2,ST,P,6/09/2019,(30)_,4,30,4,9:30:00,966384233.3
103,2,ST,D,6/09/2019,(28)_,2,28,4,9:30:00,2656294131
104,2,MT,P,6/09/2019,(29)_,2,29,4,9:30:00,2344945055
114,2,ST,P,8/09/2019,,3,0,6,9:30:00,1220900668
115,2,ST,D,8/09/2019,(33)_,3,33,6,9:30:00,1970088768
117,2,MT,D,8/09/2019,(32)_,2,32,6,9:30:00,3387560995
118,2,LT,P,8/09/2019,(31)_,2,31,6,9:30:00,5285026455
120,2,ST,P,9/09/2019,,3,0,7,9:30:00,1679874223
121,2,ST,D,9/09/2019,,3,0,7,9:30:00,2491410256
122,2,MT,P,9/09/2019,(34)_,4,34,7,9:30:00,2565640293
126,2,ST,P,10/09/2019,,3,0,8,9:30:00,2182803134
127,2,ST,D,10/09/2019,,3,0,8,9:30:00,2783733699
13,1,ST,P,5/09/2019,(7)_,2,7,3,9:30:00,2180048249
132,2,ST,P,11/09/2019,,3,0,9,9:30:00,1691703297
133,2,ST,D,11/09/2019,,3,0,9,9:30:00,2536853086
137,2,LT,D,11/09/2019,(35)_,2,35,9,9:30:00,4422167385
138,2,ST,P,12/09/2019,,3,0,10,9:30:00,1387514170
139,2,ST,D,12/09/2019,,3,0,10,9:30:00,2130374094
142,2,LT,P,12/09/2019,(36)_,4,36,10,9:30:00,3057681159
144,2,MT,P,13/09/2019,,3,0,11,9:30:00,2829062271
145,2,MT,D,13/09/2019,(37)_,3,37,11,9:30:00,3315958271
148,2,MT,P,14/09/2019,,3,0,12,9:30:00,2196908836
149,2,MT,D,14/09/2019,,3,0,12,9:30:00,2680833333
152,2,MT,P,15/09/2019,,3,0,13,9:30:00,1669183673
153,2,MT,D,15/09/2019,,3,0,13,9:30:00,3951507084
156,2,MT,P,16/09/2019,,3,0,14,9:30:00,1544129062
157,2,MT,D,16/09/2019,,3,0,14,9:30:00,2841548036
160,2,MT,P,17/09/2019,,3,0,15,9:30:00,1885247525
161,2,MT,D,17/09/2019,,3,0,15,9:30:00,3760965347
162,2,LT,P,17/09/2019,,3,0,15,9:30:00,3093154504
163,2,LT,D,17/09/2019,,3,0,15,9:30:00,3773173469
164,2,LT,P,18/09/2019,,3,0,16,9:30:00,3210155792
165,2,LT,D,18/09/2019,(38)_,3,38,16,9:30:00,3905838302
166,2,LT,P,19/09/2019,,3,0,17,9:30:00,3703777473
167,2,LT,D,19/09/2019,,3,0,17,9:30:00,4326304348
168,2,LT,P,20/09/2019,,3,0,18,9:30:00,4840301790
169,2,LT,D,20/09/2019,,3,0,18,9:30:00,3806894737
170,2,LT,P,21/09/2019,,3,0,19,9:30:00,3748315789
171,2,LT,D,21/09/2019,,3,0,19,9:30:00,4132894737
172,1,LT,P,19/09/2019,,3,0,17,9:30:00,3124652981
173,1,LT,D,19/09/2019,,3,0,17,9:30:00,5794000000
174,1,LT,P,20/09/2019,,3,0,18,9:30:00,3342762488
175,1,LT,D,20/09/2019,,3,0,18,9:30:00,5572001812
176,1,LT,P,21/09/2019,,3,0,19,9:30:00,3691052632
177,1,LT,D,21/09/2019,,3,0,19,9:30:00,4426496081
19,1,ST,P,6/09/2019,(10)_,4,10,4,9:30:00,2243608958
2,1,ST,D,3/09/2019,(2)_,1,2,1,9:30:00,5788082993
20,1,ST,D,6/09/2019,(8)_,2,8,4,9:30:00,2928736264
200,3,FS,FS,8/10/2019,(40)_,0,40,0,9:30:00,48089166667
201,3,ST,P,9/10/2019,(41)_,1,41,1,9:30:00,4878078396
202,3,ST,D,9/10/2019,(42)_,1,42,1,9:30:00,4705492958
203,3,MT,P,9/10/2019,(43)_,1,43,1,9:30:00,4066533893
204,3,MT,D,9/10/2019,(44)_,1,44,1,9:30:00,5781571429
205,3,LT,P,9/10/2019,(45)_,1,45,1,9:30:00,0
206,3,LT,D,9/10/2019,(46)_,1,46,1,9:30:00,0
