Samplename,Remove_tube,Digits,Name_code,Number,Nr2,Name2,Name,Nr,Replicate,Dilution,Donor,Transit,Vessel,Date,Ninetransit,Extra nr,Day,Time,Heat_killed,Filtered,Blank
Tube_001_0_20190902_165147.fcs,0_20190902_165147.fcs,1,0,0,0X,0.1,0.1,0,1,4,1,FS,FS,2/09/2019,0,0,0,9:30:00,No,No,No
Tube_001_0_20190902_165239.fcs,0_20190902_165239.fcs,1,0,0,0X,0.2,0.2,0,2,4,1,FS,FS,2/09/2019,0,0,0,9:30:00,No,No,No
Tube_001_0_20190902_165332.fcs,0_20190902_165332.fcs,1,0,0,0X,0.3,0.3,0,3,4,1,FS,FS,2/09/2019,0,0,0,9:30:00,No,No,No
Tube_001_0filtered_20190902_165902.fcs,0filtered_20190902_165902.fcs,1,0Filtered,0,0X,0Filtered.1,0Filtered.1,0,1,4,1,FS,FS,2/09/2019,0,0,0,9:30:00,No,Yes,No
Tube_001_0filtered_20190902_170141.fcs,0filtered_20190902_170141.fcs,1,0Filtered,0,0X,0Filtered.2,0Filtered.2,0,2,4,1,FS,FS,2/09/2019,0,0,0,9:30:00,No,Yes,No
Tube_001_1_20190903_104257.fcs,1_20190903_104257.fcs,1,1,1,1X,1.1,1.1,1,1,4,1,ST,P,3/09/2019,1,1,1,9:30:00,No,No,No
Tube_001_1_20190903_104510.fcs,1_20190903_104510.fcs,1,1,1,1X,1.2,1.2,1,2,4,1,ST,P,3/09/2019,1,1,1,9:30:00,No,No,No
Tube_001_1_20190903_104741.fcs,1_20190903_104741.fcs,1,1,1,1X,1.3,1.3,1,3,4,1,ST,P,3/09/2019,1,1,1,9:30:00,No,No,No
Tube_001_10_20190906_113209.fcs,10_20190906_113209.fcs,2,10,10,10X,10.1,19.1,19,1,4,1,ST,P,6/09/2019,4,10,4,9:30:00,No,No,No
Tube_001_10_20190906_113449.fcs,10_20190906_113449.fcs,2,10,10,10X,10.2,19.2,19,2,4,1,ST,P,6/09/2019,4,10,4,9:30:00,No,No,No
Tube_001_10_20190906_113750.fcs,10_20190906_113750.fcs,2,10,10,10X,10.3,19.3,19,3,4,1,ST,P,6/09/2019,4,10,4,9:30:00,No,No,No
Tube_001_100.-5_20191107_160801.fcs,100.-5_20191107_160801.fcs,3,100,100,100X,100.1,500.1,500,1,5,6,FS,FS,7/11/2019,0,100,0,9:30:00,No,No,No
Tube_001_100.-5_20191107_160934.fcs,100.-5_20191107_160934.fcs,3,100,100,100X,100.2,500.2,500,2,5,6,FS,FS,7/11/2019,0,100,0,9:30:00,No,No,No
Tube_001_100.-5_20191107_161113.fcs,100.-5_20191107_161113.fcs,3,100,100,100X,100.3,500.3,500,3,5,6,FS,FS,7/11/2019,0,100,0,9:30:00,No,No,No
Tube_001_101_20191108_140528.fcs,101_20191108_140528.fcs,3,101,101,101X,101.1,501.1,501,1,4,6,ST,P,8/11/2019,1,101,1,9:30:00,No,No,No
Tube_001_101_20191108_140654.fcs,101_20191108_140654.fcs,3,101,101,101X,101.2,501.2,501,2,4,6,ST,P,8/11/2019,1,101,1,9:30:00,No,No,No
Tube_001_101_20191108_140823.fcs,101_20191108_140823.fcs,3,101,101,101X,101.3,501.3,501,3,4,6,ST,P,8/11/2019,1,101,1,9:30:00,No,No,No
Tube_001_101filtered_20191108_143133.fcs,101filtered_20191108_143133.fcs,3,101Filtered,101,101X,101Filtered.1,501Filtered.1,501,1,4,6,ST,P,8/11/2019,1,101,1,9:30:00,No,Yes,No
Tube_001_101filtered_20191108_143413.fcs,101filtered_20191108_143413.fcs,3,101Filtered,101,101X,101Filtered.2,501Filtered.2,501,2,4,6,ST,P,8/11/2019,1,101,1,9:30:00,No,Yes,No
Tube_001_102_20191108_140929.fcs,102_20191108_140929.fcs,3,102,102,102X,102.1,502.1,502,1,4,6,ST,D,8/11/2019,1,102,1,9:30:00,No,No,No
Tube_001_102_20191108_141037.fcs,102_20191108_141037.fcs,3,102,102,102X,102.2,502.2,502,2,4,6,ST,D,8/11/2019,1,102,1,9:30:00,No,No,No
Tube_001_102_20191108_141149.fcs,102_20191108_141149.fcs,3,102,102,102X,102.3,502.3,502,3,4,6,ST,D,8/11/2019,1,102,1,9:30:00,No,No,No
Tube_001_103_20191108_141330.fcs,103_20191108_141330.fcs,3,103,103,103X,103.1,503.1,503,1,4,6,MT,P,8/11/2019,1,103,1,9:30:00,No,No,No
Tube_001_103_20191108_141539.fcs,103_20191108_141539.fcs,3,103,103,103X,103.2,503.2,503,2,4,6,MT,P,8/11/2019,1,103,1,9:30:00,No,No,No
